job_id,company,title,location,posted_time_epoch,reposted_new,apply_url_new,posted_time,reposted_old,apply_url_old,posted_time_new,posted_time_old
4079766058,InfoCentric,Python Data Engineer,"Melbourne, Victoria, Australia",1734087223000,True,https://infocentric.breezy.hr/p/a4b0d1aa9255-python-data-engineer?source=%5BLinkedIn%5D,2024-11-21 11:12:02,False,https://infocentric.breezy.hr/p/a4b0d1aa9255-python-data-engineer?source=%5BLinkedIn%5D,2024-12-13 10:53:43,2024-11-21 11:12:02
4083448565,Amazon,"Data Centre Chief Engineer, Data Centre Engineering Operations","Melbourne, Victoria, Australia",1734171891000,True,https://www.amazon.jobs/jobs/2838100/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-22 15:06:39,False,https://www.amazon.jobs/jobs/2838100/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-14 10:24:51,2024-11-22 15:06:39
4045181041,Employment Hero,Analytics Engineer,Australia,1734172980000,True,https://www.linkedin.com/job-apply/4045181041,2024-11-22 10:47:33,True,https://www.linkedin.com/job-apply/4045181041,2024-12-14 10:43:00,2024-11-22 10:47:33
4094813779,ITbility,Data Engineer with AZURE Data Factory,"Sydney, New South Wales, Australia",1734684812000,True,N/A,2024-12-09 00:51:41,False,N/A,2024-12-20 08:53:32,2024-12-09 00:51:41
4084801052,Amazon Web Services (AWS),Data Center Technical Operations Engineer,"Sydney, New South Wales, Australia",1734345979000,True,https://www.amazon.jobs/jobs/2839171/data-center-technical-operations-engineer?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-25 09:05:15,False,https://www.amazon.jobs/jobs/2839171/data-center-technical-operations-engineer?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-16 10:46:19,2024-11-25 09:05:15
4045409234,Agoda,"SQL Developer (Bangkok Based, Relocation Provided)","Melbourne, Victoria, Australia",1733912662000,True,https://careersatagoda.com/job/6275186-sql-developer-bangkok-based-relocation-provided/?gh_jid=6275186&gh_src=9d34618b1,2024-11-19 10:35:00,True,https://careersatagoda.com/job/6275186-sql-developer-bangkok-based-relocation-provided/?gh_jid=6275186&gh_src=9d34618b1,2024-12-11 10:24:22,2024-11-19 10:35:00
4089009799,Synechron,  AWS Data Engineer,"Sydney, New South Wales, Australia",1734301976000,True,N/A,2024-12-09 00:18:20,True,N/A,2024-12-15 22:32:56,2024-12-09 00:18:20
4093109264,Endava,GCP Senior Data Engineer,"Sydney, New South Wales, Australia",1734554055000,True,https://www.linkedin.com/job-apply/4093109264,2024-12-06 02:36:14,False,https://www.linkedin.com/job-apply/4093109264,2024-12-18 20:34:15,2024-12-06 02:36:14
4083080854,Alcoa,Machine Vision Engineer,"Booragoon, Western Australia, Australia",1734565992000,True,https://alcoa.wd5.myworkdayjobs.com/careers/job/Australia-WA-Booragoon/Machine-Vision-Engineer_Req-28989?source=LinkedIn,2024-11-26 05:04:49,False,https://alcoa.wd5.myworkdayjobs.com/careers/job/Australia-WA-Booragoon/Machine-Vision-Engineer_Req-28989?source=LinkedIn,2024-12-18 23:53:12,2024-11-26 05:04:49
4093207646,ITbility,Data Engineer,"Sydney, New South Wales, Australia",1734314432000,True,https://www.linkedin.com/job-apply/4093207646,2024-12-06 07:58:48,False,https://www.linkedin.com/job-apply/4093207646,2024-12-16 02:00:32,2024-12-06 07:58:48
4084885574,Agoda,"Data Engineer (Fintech team) (Bangkok based, relocation provided)","Melbourne, Victoria, Australia",1734566920000,True,https://careersatagoda.com/job/6428760-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428760&gh_src=9d34618b1,2024-11-25 15:10:24,False,https://careersatagoda.com/job/6428760-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428760&gh_src=9d34618b1,2024-12-19 00:08:40,2024-11-25 15:10:24
4084884654,Agoda,"Staff Data Engineer (Fintech team) (Bangkok based, relocation provided)","Melbourne, Victoria, Australia",1734554640000,True,https://careersatagoda.com/job/6428761-staff-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428761&gh_src=9d34618b1,2024-11-25 15:10:22,False,https://careersatagoda.com/job/6428761-staff-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428761&gh_src=9d34618b1,2024-12-18 20:44:00,2024-11-25 15:10:22
4083444777,Amazon,"Data Centre Chief Engineer, Data Centre Engineering Operations","Melbourne, Victoria, Australia",1734171736000,True,https://www.amazon.jobs/jobs/2838094/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-22 15:06:39,False,https://www.amazon.jobs/jobs/2838094/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-14 10:22:16,2024-11-22 15:06:39
4034752657,Amazon Web Services (AWS),"Constructability Engineer, Data Center Design Engineering","Sydney, New South Wales, Australia",1734776574000,True,https://www.amazon.jobs/jobs/2785532/constructability-engineer-data-center-design-engineering?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-29 10:52:15,True,https://www.amazon.jobs/jobs/2785532/constructability-engineer-data-center-design-engineering?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-21 10:22:54,2024-11-29 10:52:15
3942740169,InfoCentric,Azure Cloud Engineer,"Melbourne, Victoria, Australia",1734173678000,True,https://infocentric.breezy.hr/p/89808bb00302-azure-cloud-engineer?source=%5BLinkedIn%5D,2024-11-22 10:55:40,True,https://infocentric.breezy.hr/p/89808bb00302-azure-cloud-engineer?source=%5BLinkedIn%5D,2024-12-14 10:54:38,2024-11-22 10:55:40
4083450245,Amazon,"Data Centre Chief Engineer, Data Centre Engineering Operations","Melbourne, Victoria, Australia",1734171628000,True,https://www.amazon.jobs/jobs/2838105/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-22 15:06:39,False,https://www.amazon.jobs/jobs/2838105/data-centre-chief-engineer-data-centre-engineering-operations?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-14 10:20:28,2024-11-22 15:06:39
4086366006,Equinix,Data Center Customer Operations Engineer IV,"Melbourne, Victoria, Australia",1733779366000,True,https://careers.equinix.com/jobs/data-center-customer-operations-engineer-iv-melbourne-victoria-australia?source=linkedin&utm_source=linkedin,2024-12-02 04:37:18,False,https://careers.equinix.com/jobs/data-center-customer-operations-engineer-iv-melbourne-victoria-australia?source=linkedin&utm_source=linkedin,2024-12-09 21:22:46,2024-12-02 04:37:18
4084888409,Agoda,"Senior Data Engineer (Bangkok based, relocation provided)","Melbourne, Victoria, Australia",1734560711000,True,https://careersatagoda.com/job/6428763-senior-data-engineer-bangkok-based-relocation-provided/?gh_jid=6428763&gh_src=9d34618b1,2024-11-25 15:10:22,False,https://careersatagoda.com/job/6428763-senior-data-engineer-bangkok-based-relocation-provided/?gh_jid=6428763&gh_src=9d34618b1,2024-12-18 22:25:11,2024-11-25 15:10:22
3997240265,Anduril Industries,Senior Machine Learning/MLOps Engineer,"Melbourne, Victoria, Australia",1734259107000,True,https://boards.greenhouse.io/andurilindustries/jobs/4473480007?gh_jid=4473480007&source=LinkedIn,2024-11-23 10:39:35,True,https://boards.greenhouse.io/andurilindustries/jobs/4473480007?gh_jid=4473480007&source=LinkedIn,2024-12-15 10:38:27,2024-11-23 10:39:35
4084882912,Agoda,"Data Engineer (Fintech team) (Bangkok based, relocation provided)","Perth, Western Australia, Australia",1734480324000,True,https://careersatagoda.com/job/6428760-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428760&gh_src=ef36c3011,2024-11-25 15:10:24,False,https://careersatagoda.com/job/6428760-data-engineer-fintech-team-bangkok-based-relocation-provided/?gh_jid=6428760&gh_src=ef36c3011,2024-12-18 00:05:24,2024-11-25 15:10:24
4092117993,St John of God Health Care,Data Engineer,"Perth, Western Australia, Australia",1734413405000,True,https://wd105.myworkdaysite.com/en-US/recruiting/sjog/SJGHC_External_Career_Site/job/Perth-Western-Australia/Data-Engineer_JR-7754,2024-12-06 17:29:37,False,https://wd105.myworkdaysite.com/en-US/recruiting/sjog/SJGHC_External_Career_Site/job/Perth-Western-Australia/Data-Engineer_JR-7754,2024-12-17 05:30:05,2024-12-06 17:29:37
4084888411,Agoda,"Senior Data Engineer (Bangkok based, relocation provided)","Sydney, New South Wales, Australia",1734555150000,True,https://careersatagoda.com/job/6428763-senior-data-engineer-bangkok-based-relocation-provided/?gh_jid=6428763&gh_src=99121a3b1,2024-11-25 15:10:22,False,https://careersatagoda.com/job/6428763-senior-data-engineer-bangkok-based-relocation-provided/?gh_jid=6428763&gh_src=99121a3b1,2024-12-18 20:52:30,2024-11-25 15:10:22
4061501936,Amazon Web Services (AWS),Cloud Support Engineer (Analytics),"Sydney, New South Wales, Australia",1733827690000,True,https://www.amazon.jobs/jobs/2815639/cloud-support-engineer-analytics?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-11-18 10:48:53,True,https://www.amazon.jobs/jobs/2815639/cloud-support-engineer-analytics?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,2024-12-10 10:48:10,2024-11-18 10:48:53
3927613393,Agoda,"Lead Data Engineer – DevOps Team (Bangkok-Based, Relocation Provided)","Melbourne, Victoria, Australia",1733823258000,True,https://careersatagoda.com/job/5967391-lead-data-engineer-devops-team-bangkok-based-relocation-provided/?gh_jid=5967391&gh_src=9d34618b1,2024-12-06 15:04:45,True,https://careersatagoda.com/job/5967391-lead-data-engineer-devops-team-bangkok-based-relocation-provided/?gh_jid=5967391&gh_src=9d34618b1,2024-12-10 09:34:18,2024-12-06 15:04:45
